id,name,type_info,geometry
355685868,Frauenlobstraße,bus,POINT (13.4842951 52.4633004)
355685870,Sonnenallee/Baumschulenstraße,bus,POINT (13.4808441 52.4604694)
355685874,Baumschulenstraße/Königsheideweg,bus,POINT (13.4748833 52.4558811)
355685879,Haarlemer Straße,bus,POINT (13.4548632 52.4530585)
355685895,Riesestraße,bus,POINT (13.4461025 52.4524377)
355685901,Britzer Damm/Gradestraße,bus,POINT (13.4392277 52.4527468)
355685905,Betriebshof Britz,bus,POINT (13.436395 52.4526412)
355685908,Gradestraße/Tempelhofer Weg,bus,POINT (13.4319054 52.4524874)
355914690,Oberspreestraße/Bundeswehr,bus,POINT (13.549151 52.4487769)
358578553,Kurstraße,,POINT (13.2181036 52.4283665)
358578560,Studentendorf Schlachtensee,bus,POINT (13.2151788 52.4273826)
359075175,Waldhaus-Klinik,,POINT (13.2058611 52.4244385)
360243247,Elisabethstraße/Oberfeldstraße,bus,POINT (13.5591153 52.5340586)
360682702,Stadtbad Lankwitz,,POINT (13.341886 52.4419032)
360682707,Steglitzer Damm/Bismarckstraße,,POINT (13.3370631 52.4512067)
360837634,Südostallee/Breites Fenn,bus,POINT (13.5064294 52.4537666)
360837636,Südostallee/Königsheide,bus,POINT (13.5008122 52.4564918)
360837638,Marientaler Straße,bus,POINT (13.4894873 52.4638694)
360837653,Hänselstraße,bus,POINT (13.4807167 52.4700848)
360837655,Bergaustraße,bus,POINT (13.4807643 52.4726417)
360837657,Eichbuschallee/Köpenicker Landstraße,bus,POINT (13.4833043 52.4746064)
360837660,Köpenicker Landstraße/Dammweg,bus,POINT (13.479181 52.4771759)
360837674,Alt-Treptow,bus,POINT (13.477089 52.487111)
360837678,Sowjetisches Ehrenmal,bus,POINT (13.4693371 52.4898483)
361152196,Am Berg,bus,POINT (13.587697 52.4453205)
361152200,Landjägerstraße,bus,POINT (13.5837685 52.4437428)
361152205,Friedlander Straße,bus,POINT (13.554 52.4477436)
361159823,S Schöneweide,bus,POINT (13.5106293 52.4558293)
361159832,Karlshorster Straße,bus,POINT (13.502999 52.4612839)
361159844,Köpenicker Landstraße/Schnellerstraße,bus,POINT (13.4979207 52.4644883)
361159857,Köpenicker Landstraße/Sportplatz,bus,POINT (13.4881924 52.4713059)
361164004,Heidelberger Straße,bus,POINT (13.4488438 52.4882068)
361164007,Werbellinstraße,bus,POINT (13.4360371 52.4787137)
361164010,Morusstraße,bus,POINT (13.4325131 52.4782784)
361168165,Herrfurthstraße,bus,POINT (13.426856 52.4775645)
361168170,Fontanestraße/Flughafenstraße,bus,POINT (13.4216586 52.4802014)
364151284,Neukladower Allee,bus,POINT (13.1530715 52.4594346)
364445671,Hortwinkeler Weg,bus,POINT (13.6938965 52.4411838)
364793275,Lincolnstraße/Einbecker Straße,bus,POINT (13.5074885 52.5084531)
364793280,Einbecker Straße/Rosenfelder Straße,bus,POINT (13.5028041 52.5099045)
364793296,Irenenstraße,bus,POINT (13.4995433 52.5094066)
364849149,Falckensteinstraße,bus,POINT (13.4434415 52.5001957)
364849152,U Schlesisches Tor,bus,POINT (13.4412981 52.50134)
365145502,U Eberswalder Straße/Pappelallee,tram,POINT (13.4127936 52.5414567)
365714284,Jüdisches Museum,,POINT (13.39592 52.5036763)
365714288,Lindenstraße/Oranienstraße,,POINT (13.399068 52.5068045)
365714308,U Märkisches Museum,,POINT (13.4093958 52.5114237)
365714315,Neumannsgasse,,POINT (13.4039227 52.5155382)
365714322,Werderscher Markt,,POINT (13.397328 52.5152476)
365726729,Köpenicker Straße/Adalbertstraße,,POINT (13.4245368 52.508933)
365726739,Michaelkirchstraße,,POINT (13.4217679 52.509717)
366344894,Friedrich-Junge-Straße,bus,POINT (13.4725595 52.4934664)
368312782,Wröhmännerpark,bus,POINT (13.2057056 52.5419444)
371514388,Alt-Stralau,bus,POINT (13.4761756 52.492701)
376999416,Taborstraße,,POINT (13.4474977 52.4981943)
376999429,Heckmannufer,bus,POINT (13.4492432 52.4969388)
376999465,Eichenstraße/Puschkinallee,bus,POINT (13.4540484 52.4940582)
376999492,Elsenstraße/S Treptower Park,bus,POINT (13.4584133 52.4931167)
376999521,Rathaus Treptow,bus,POINT (13.4807498 52.4831032)
376999542,Neue Krugallee/Dammweg,bus,POINT (13.4831688 52.4804118)
377038882,Westweg,bus,POINT (13.4892503 52.4509377)
377038960,Haushoferstraße,bus,POINT (13.499994 52.4476139)
377086256,Storkower Straße/Einkaufszentrum,bus,POINT (13.4531024 52.5333564)
377086310,Max-Brunnow-Straße,,POINT (13.4588733 52.5269318)
377086326,Sophienstraße,bus,POINT (13.4960719 52.5064982)
377086343,Münsterlandplatz,bus,POINT (13.4953144 52.5048731)
377086372,Lückstraße/Weitlingstraße,bus,POINT (13.4935585 52.5018431)
377086419,S Ostkreuz,bus,POINT (13.46811 52.5026621)
378205954,S+U Warschauer Straße,,POINT (13.4483446 52.5049443)
378205957,Oberbaumbrücke,bus,POINT (13.4472974 52.5034318)
385163219,Wismarplatz,bus,POINT (13.4629196 52.5108589)
385200818,Albert-Einstein-Straße,bus,POINT (13.5390344 52.4313531)
385383984,Pirolstraße,,POINT (13.5551142 52.4946487)
385383989,Grabensprung,,POINT (13.5557924 52.4979964)
385384005,Weißenhöher Straße,,POINT (13.554265 52.507402)
385384012,Oberfeldstraße,,POINT (13.5526219 52.509405)
385384013,Lötschbergstraße,bus,POINT (13.5476238 52.509664)
385384014,Märkische Allee/Alt-Friedrichsfelde,,POINT (13.5396966 52.5100732)
385384037,Robert-Uhrig-Straße,bus,POINT (13.5108136 52.5104736)
385384038,Lichtenberger Brücke Nord,bus,POINT (13.4982034 52.5115259)
385384043,U Samariterstraße,bus,POINT (13.4658394 52.5147028)
386025270,Zeuthener Weg,bus,POINT (13.64694 52.3428249)
386159767,An der Urania,bus,POINT (13.3466236 52.5015321)
386346730,U Nollendorfplatz,,POINT (13.3532947 52.5000299)
386505792,Hertzbergplatz,bus,POINT (13.4486917 52.477379)
386576607,Treptower Brücke,bus,POINT (13.452728 52.4814749)
386790206,Traveplatz,tram,POINT (13.4696737 52.5119866)
388317641,Olivaer Platz,,POINT (13.3120609 52.5006397)
388563998,U Adenauerplatz,,POINT (13.3070468 52.5005577)
388569467,Europa-Center,,POINT (13.3373127 52.503738)
388575365,Potsdamer Brücke,,POINT (13.3677641 52.5057527)
388577947,U Bülowstraße,,POINT (13.361655 52.4972713)
388642530,Innovationspark Wuhlheide,,POINT (13.5655613 52.4704744)
390351380,Spenerstraße,bus,POINT (13.3529056 52.5241385)
391337194,Paradestraße,subway,POINT (13.3863747 52.4781142)
393328729,Odernheimer Straße,bus,POINT (13.6808645 52.423886)
393340984,Göschenplatz/S Wittenau,bus,POINT (13.3325982 52.5976341)
401619948,Kirchstraße/Alt-Moabit,bus,POINT (13.3487966 52.5246465)
401852749,Jebensstraße,bus,POINT (13.3309743 52.5067784)
401855119,Johannes-Tobei-Straße,bus,POINT (13.5602853 52.4045976)
401858197,Zur Gartenstadt,bus,POINT (13.5676978 52.4028701)
405040162,Achardstraße,,POINT (13.5791661 52.5003179)
405040166,Alt-Kaulsdorf/Chemnitzer Straße,,POINT (13.5812231 52.5038487)
407094168,Gerdastraße,,POINT (13.5765418 52.4936703)
407094175,Wernitzer Straße,,POINT (13.5772838 52.4966102)
407094179,Heerstraße/Chemnitzer Straße,,POINT (13.5757103 52.4907192)
410135923,Pflügerstraße,bus,POINT (13.433624 52.489584)
411663630,Planitzstraße,,POINT (13.5882335 52.5105263)
412193168,Berlin Ostbahnhof,,POINT (13.4350534 52.5104324)
412193321,Ostbahnhof,light_rail,POINT (13.4352229 52.5107436)
412404951,Albertstraße,bus,POINT (13.3527526 52.484239)
412404953,Dominicusstraße/Hauptstraße,bus,POINT (13.3490014 52.4821933)
413020904,S Wilhelmshagen,bus,POINT (13.7209048 52.4386175)
417128195,S Nikolassee,,POINT (13.1928673 52.4323528)
417493167,Heiligenseestraße/Ruppiner Chaussee,bus,POINT (13.2744379 52.5976536)
418084010,Seydlitzstraße,bus,POINT (13.3635986 52.5277953)
418506176,U Osloer Straße,tram,POINT (13.3732617 52.5566952)
419216786,U Siemensdamm,bus,POINT (13.2731898 52.536415)
423817881,Rehagener Straße,,POINT (13.4029361 52.3866263)
423817883,Goltzstraße/Lichtenrader Damm,,POINT (13.4085609 52.3869662)
423817885,S Lichtenrade,,POINT (13.4001079 52.3866263)
423832080,Riedingerstraße,,POINT (13.400988 52.3872191)
423835814,Galluner Straße,,POINT (13.4034287 52.3820202)
423836054,Paplitzer Straße,,POINT (13.4073698 52.3820069)
427669897,Berlin-Mahlsdorf,,POINT (13.6110087 52.51195)
428147950,Stendaler Straße,,POINT (13.3512555 52.5327262)
428767048,Lützowstraße/Potsdamer Straße,,POINT (13.3661978 52.503503)
428767050,U Kurfürstenstraße,,POINT (13.3628505 52.4994251)
429354074,Grünbergallee,light_rail,POINT (13.5419036 52.3992998)
430227083,Dietzgenstraße/Mittelstraße,bus,POINT (13.4020152 52.5905912)
430948800,Lückhoffstraße,,POINT (13.206366 52.4340236)
431266475,Blankenburger Chaussee/Straße 42,bus,POINT (13.4785318 52.6072118)
431279366,An der Rehwiese,,POINT (13.2005889 52.4340746)
431329928,Steinstraße/Rhinstraße,bus,POINT (13.3978925 52.3934969)
433727958,U Weberwiese,,POINT (13.4428802 52.5159525)
433727960,Franz-Mehring-Platz,bus,POINT (13.4389892 52.5130559)
433727962,S Ostbahnhof/Erich-Steinfurth-Straße,,POINT (13.437448 52.5107313)
433727964,S Ostbahnhof,bus,POINT (13.4343657 52.5095815)
433727966,Stralauer Platz,,POINT (13.4309482 52.5110557)
433727969,Adalbertstraße,,POINT (13.4219556 52.5055356)
433727970,Heinrich-Heine-Platz,,POINT (13.4175718 52.5065893)
433727980,Jerusalemer Straße,,POINT (13.3957131 52.5110006)
433727982,U Stadtmitte,bus,POINT (13.3903051 52.5104598)
433727985,Leipziger Straße/Wilhelmstraße,bus,POINT (13.3828759 52.5098494)
433727993,Kulturforum,,POINT (13.3694661 52.507622)
433727997,U Mendelssohn-Bartholdy-Park,,POINT (13.3741743 52.5026867)
433727998,U Möckernbrücke,bus,POINT (13.3829438 52.498622)
433728000,U Hallesches Tor,bus,POINT (13.3923258 52.497412)
433728001,U Prinzenstraße,,POINT (13.4060981 52.4982789)
433728003,U Görlitzer Bahnhof,bus,POINT (13.4272516 52.4988959)
434528000,Im Spektefeld/Schulzentrum,bus,POINT (13.1569497 52.5489564)
439181174,U Berliner Straße,bus,POINT (13.3317949 52.4874911)
440764971,Karl-Elsasser-Straße,,POINT (13.4253478 52.4577801)
440776440,Germaniapromenade,,POINT (13.4352434 52.4607334)
441212268,S Botanischer Garten,,POINT (13.307153 52.4469542)
441212270,Lipaer Straße,,POINT (13.3114272 52.4483382)
441212273,Teltowkanalstraße,,POINT (13.3319411 52.4428198)
441878985,Ziegrastraße,bus,POINT (13.458745 52.47253)
441878988,Mareschstraße,bus,POINT (13.4524805 52.4756427)
442135037,Clauertstraße,,POINT (13.2297508 52.4273969)
442381627,Komturstraße,,POINT (13.4008144 52.4592994)
442450775,Wilhelm-Borgmann-Brücke,,POINT (13.4283378 52.4558834)
443641262,Warmbrunner Str.,bus,POINT (13.2956945 52.4853605)
445821395,Britzer Damm/Mohriner Allee,,POINT (13.4336192 52.4446006)
446112496,Leonorenstraße/Siemensstraße,,POINT (13.3397277 52.444205)
446899195,Mittelbuschweg,bus,POINT (13.4471899 52.4682698)
448811301,Kottbusser Brücke,bus,POINT (13.419368 52.4967372)
448814541,Prinzenstraße/Ritterstraße,bus,POINT (13.4088725 52.5014541)
448814552,Alexanderstraße,bus,POINT (13.4181992 52.5177921)
448814807,Am Friedrichshain,,POINT (13.4262596 52.5273651)
452620193,Grimmstraße,,POINT (13.4066589 52.3991271)
452634974,Fleischerstraße,bus,POINT (13.4796002 52.4195691)
452634977,Schriftsetzerweg,bus,POINT (13.4811992 52.420955)
452634983,U Zwickauer Damm,bus,POINT (13.483965 52.4230654)
452658751,Windröschenweg,,POINT (13.4161709 52.4400297)
452658754,Rotkopfweg,bus,POINT (13.4094308 52.4391591)
452659259,U Alt-Mariendorf,bus,POINT (13.3873353 52.4387553)
453210794,Haberstraße,bus,POINT (13.4609871 52.4622808)
453218054,Schulenburgpark,bus,POINT (13.4707225 52.4662035)
453218060,Michael-Bohnen-Ring,bus,POINT (13.472705 52.4650121)
455501170,Berlin-Wannsee,station,POINT (13.1800603 52.421199)
456407454,Beifußweg,bus,POINT (13.4738214 52.4382534)
456407456,Johannisthaler Chaussee/Rudower Straße,,POINT (13.4686494 52.4346826)
456421028,Rudower Straße/Grüner Weg,,POINT (13.4567767 52.4424234)
457491353,Ringslebenstraße/Mollnerweg,,POINT (13.4437081 52.4176336)
457491357,Buckower Damm/Ringslebenstraße,,POINT (13.4391956 52.4175661)
457491359,Mollnerweg,,POINT (13.4381418 52.4188991)
462108034,S+U Hermannstraße/Silbersteinstraße,bus,POINT (13.431199 52.4663958)
462110679,Bambachstraße,bus,POINT (13.4270793 52.4658085)
462111595,Eschersheimer Straße,bus,POINT (13.42115 52.4651033)
462112929,Oberlandstr./A100,bus,POINT (13.4046609 52.4634255)
462115247,Oberlandstraße/Germaniastraße,,POINT (13.4014218 52.4634789)
462120350,Oberlandgarten,,POINT (13.4151112 52.4646578)
462689335,Liebenowzeile,,POINT (13.3493888 52.4495582)
462703059,Chlodwigstraße,,POINT (13.3720379 52.4527855)
462714417,Tankredstraße,,POINT (13.3743682 52.4545804)
462723709,Attilaplatz,,POINT (13.3770964 52.4560177)
462737541,Colditzstraße,,POINT (13.3927214 52.4577495)
462742598,Rohdestraße,,POINT (13.4078883 52.459953)
463170864,Haus Bremen,bus,POINT (13.4275786 52.4639302)
464396487,Rudower Chaussee/Wegedornstraße,bus,POINT (13.5275452 52.4289326)
464396566,Walther-Nernst-Straße,bus,POINT (13.5346959 52.4320676)
464772491,Eduard-Müller-Platz,bus,POINT (13.436882 52.4669535)
469466577,Revaler Straße,tram,POINT (13.4514133 52.5095695)
470319907,Insel Reiswerder,ferry,POINT (13.2538164 52.5680479)
470319908,Berlin Reinickendorf,ferry,POINT (13.2555851 52.5680119)
470488179,Zeitzer Straße,bus,POINT (13.446034 52.4702718)
471122387,Röblingstraße/Arnulfstraße,,POINT (13.3598805 52.4563929)
471128605,Domnauer Straße,bus,POINT (13.3652961 52.4557707)
471128964,Alboinstraße/Arnulfstraße,bus,POINT (13.3692839 52.4556662)
471131106,Wittekindstraße,,POINT (13.3738379 52.4554491)
471137559,Wenckebachstraße,,POINT (13.3877869 52.4565615)
471467335,S Rummelsburg,bus,POINT (13.478343 52.5018406)
471467338,Michiganseestraße,bus,POINT (13.5006545 52.4986865)
471483108,Philippstraße,,POINT (13.382997 52.527204)
471483110,Robert-Koch-Platz,,POINT (13.3794631 52.5283557)
471493990,Simon-Dach-Straße,bus,POINT (13.4552487 52.5120569)
471493994,Holteistraße,tram,POINT (13.4656691 52.5090449)
472266366,Oberlandstraße Mitte,bus,POINT (13.4107652 52.4641319)
472348128,Neuköllnische Brücke,bus,POINT (13.4554416 52.4691114)
472350042,Am Oberhafen,bus,POINT (13.4505643 52.4650292)
472376571,U Cottbusser Platz,,POINT (13.596807 52.53435)
472395480,Franz-Körner-Straße,bus,POINT (13.4492205 52.4565716)
472402354,Onkel-Herse-Straße,,POINT (13.4537318 52.4483136)
472414952,Buschkrugallee/Parchimer Allee,,POINT (13.4551147 52.4447789)
472427304,Buchfinkweg,,POINT (13.4638166 52.4331349)
472428994,Johannisthaler Chaussee/Fritz-Erler-Allee,,POINT (13.4595097 52.4318065)
