id,name,geometry
279224131,Aldi,POINT (13.4617637 52.47024789999999)
279301771,Dada Falafel,POINT (13.3882449 52.5264639)
279305173,HEM,POINT (13.366135900000002 52.44904749999999)
279408216,World of Pizza,POINT (13.5035112 52.565846699999994)
279966479,Aral,POINT (13.433110900000003 52.44534259999998)
280244277,Mini-Laden,POINT (13.3432159 52.5563326)
281413022,Spreves,POINT (13.5784714 52.452062)
281426281,PENNY,POINT (13.5129345 52.4622262)
281775191,Shell,POINT (13.429601900000002 52.57160160000001)
282406641,Drink Oase,POINT (13.4611651 52.510899300000005)
282420132,Pizza Dach Aceto Lokanta,POINT (13.4562191 52.510480499999986)
282739417,Casablanca,POINT (13.4619531 52.516839999999995)
282742878,Bistro Samariter,POINT (13.4658491 52.518356000000004)
282751417,Akcan Döner,POINT (13.4737036 52.514902899999996)
282751610,Rigas Pizza Box,POINT (13.4739485 52.5148419)
282832827,Esso,POINT (13.5760187 52.48950590000001)
283190905,Lidl,POINT (13.4144676 52.5021)
283443676,EDEKA Y.Reichelt,POINT (13.3343449 52.5208001)
283733696,Jet,POINT (13.499022699999998 52.521361000000006)
285071508,Denns BioMarkt,POINT (13.4597619 52.512611499999984)
285079008,Drinkbox,POINT (13.460210200000002 52.5125022)
285096511,Späti am Comenius,POINT (13.4490353 52.51146940000001)
285431956,Burger King,POINT (13.2034674 52.5375361)
286210165,Spätverkauf,POINT (13.4635638 52.4992044)
286740930,Edeka Wittenbergplatz,POINT (13.3436334 52.502604299999994)
286750068,Burger King,POINT (13.191101500000002 52.433962099999995)
287295063,Burger King,POINT (13.458037 52.529464)
287297683,Luxa,POINT (13.4090078 52.5286587)
287297820,Midnight Shop,POINT (13.4094976 52.5291171)
289359993,Kaufland,POINT (13.5578938 52.5068475)
290188321,Total,POINT (13.3766736 52.5004782)
290659635,Star,POINT (13.243365900000002 52.60177209999999)
290829129,Chinapfanne,POINT (13.4349825 52.426819699999996)
290829130,Muro Döner Kebap,POINT (13.4349794 52.4268714)
291256974,Kiez Kiosk,POINT (13.4552692 52.50995509999999)
292092618,EDEKA,POINT (13.4657308 52.525429499999994)
292728693,Imbiss am Müggelturm,POINT (13.6252804 52.41687569999999)
292909486,tabak & presse,POINT (13.3304422 52.49969119999999)
293130845,REWE,POINT (13.3024814 52.4262609)
293130996,Aldi,POINT (13.3036734 52.4269688)
293137288,REWE,POINT (13.486345900000002 52.61838650000001)
293244992,EDEKA Lindenberg,POINT (13.3654858 52.560814999999984)
294036281,EDEKA Iden,POINT (13.3352782 52.594751599999995)
295120593,BEHALA,POINT (13.3417491 52.536973399999994)
297477471,Netto Marken-Discount,POINT (13.4467143 52.5239186)
297803736,Aldi,POINT (13.330048 52.429735099999995)
298094795,Bistro Nazar,POINT (13.3852862 52.48446839999999)
298811748,Nahkauf,POINT (13.2968177 52.4433223)
300467433,Vietnam Küche,POINT (13.5735374 52.41151910000001)
300818499,Penny,POINT (13.3458969 52.4893173)
301111021,Total,POINT (13.5728652 52.41446789999999)
301787391,Lidl,POINT (13.3788276 52.5652376)
301845927,Lidl,POINT (13.3620284 52.417389799999995)
303068243,Esso,POINT (13.3454654 52.4901196)
304265038,Star,POINT (13.2643834 52.4191711)
304367382,REWE,POINT (13.1414723 52.52501639999999)
304371509,REWE,POINT (13.5684842 52.5687154)
304897065,Nhat Long,POINT (13.5726195 52.3934584)
307642432,Wurst,POINT (13.3769238 52.517294899999996)
308019560,REWE,POINT (13.5150175 52.504823499999986)
308811402,Shell,POINT (13.4150223 52.5563681)
308858101,Risa Chicken,POINT (13.3818276 52.4105368)
309150372,Netto Marken-Discount,POINT (13.334970100000001 52.4300567)
309880944,JET,POINT (13.4523516 52.5338295)
310267641,E-Kiezmarkt,POINT (13.4177005 52.49246300000001)
310377171,Brutzelstübchen,POINT (13.339946800000002 52.48833909999999)
310377173,Haupt Grill,POINT (13.3481061 52.481334499999996)
310377176,Mein Markt,POINT (13.343096400000002 52.480899199999996)
310377178,Max und Moritz,POINT (13.3554125 52.48546089999999)
312383490,Subway,POINT (13.3119651 52.50015390000001)
312391523,Sprint,POINT (13.319363800000001 52.499445499999986)
312698855,,POINT (13.4017916 52.49560159999999)
312820851,Spätkauf,POINT (13.376473 52.542918300000004)
312946598,Sprint,POINT (13.4001754 52.39466769999999)
313011082,,POINT (13.4214042 52.564664699999994)
313080918,Edeka Neue Kantstraße,POINT (13.2930747 52.50655049999999)
313144196,REWE City,POINT (13.4469831 52.52583449999999)
313160280,HEM,POINT (13.3152178 52.61345579999999)
313160419,Star,POINT (13.3189479 52.611056399999995)
313188999,HIT Ullrich,POINT (13.3251331 52.46103639999999)
313325387,KFC,POINT (13.337072 52.504856000000004)
313874489,Asia Supermarket,POINT (13.4519646 52.525759099999995)
313874493,Eren,POINT (13.4516579 52.52628779999999)
314401614,Asia Lebensmittel,POINT (13.4531781 52.52317049999999)
314401618,Mini Markt 25,POINT (13.4513021 52.52270420000001)
314401620,Ja Dilo,POINT (13.4509232 52.52230540000001)
314401622,Asia Shop,POINT (13.4503447 52.52318960000001)
314671375,Pho Co,POINT (13.452738 52.524735)
315757117,Sushi Shop,POINT (13.3306162 52.5264989)
315775250,Lidl,POINT (13.437317800000002 52.55673229999999)
315801862,EDEKA Martin-Luther-Straße,POINT (13.344783500000002 52.49200319999999)
316134702,Esso,POINT (13.3470882 52.596489)
316565528,Kaplan,POINT (13.3591332 52.54613259999999)
316657525,Mac's Deluxe,POINT (13.4801013 52.527485)
316772479,Edeka,POINT (13.284848 52.5890882)
316772541,Laventes Grill,POINT (13.2847477 52.58882129999999)
317179408,Baba Sultan Köfteci,POINT (13.3588162 52.545889299999985)
317179409,Lahmacun Kebab Haus,POINT (13.357578 52.54568290000001)
317179414,Beef Bowl,POINT (13.3591493 52.546631399999995)
317179416,Asia Imbiss,POINT (13.3592059 52.546646599999995)
317179429,Currywurst am Leo,POINT (13.359752300000002 52.5465521)
317443999,Spross Café Bistro,POINT (13.4400654 52.5160527)
317552398,Bagel Company,POINT (13.5358496 52.432331)
317552401,Subway,POINT (13.535167 52.4326337)
317732496,Bio Company,POINT (13.307469500000002 52.504723899999995)
317991364,EDEKA Kelz,POINT (13.4406783 52.51605490000001)
318149465,McDonald's,POINT (13.4122205 52.521073)
318149466,Currywurst Express,POINT (13.4118911 52.521197599999994)
318349843,REWE,POINT (13.4121544 52.5305826)
318349845,Netto Marken-Discount,POINT (13.4127819 52.52822079999999)
318731350,HEM,POINT (13.327774200000002 52.6088139)
319211583,Lidl,POINT (13.435180500000001 52.52232990000001)
319546170,REWE,POINT (13.2746944 52.5363802)
319584630,EDEKA,POINT (13.4284778 52.52261)
320074857,Lidl,POINT (13.4079979 52.53451909999999)
320216659,Cult Döner,POINT (13.405189700000001 52.5343736)
322153511,Kiezmarkt,POINT (13.3983824 52.527000799999996)
324205115,Dolce Vita,POINT (13.5000169 52.571121)
324227451,Linden Grill,POINT (13.382678 52.516543899999995)
324792570,Pizza Ciao,POINT (13.3630022 52.4133977)
324792581,Seven Grill,POINT (13.3643082 52.414333299999996)
325161320,Star,POINT (13.1805626 52.50474049999998)
330499646,Orlen,POINT (13.3940775 52.4258602)
331347585,Nice 2 See U,POINT (13.4616129 52.5087187)
333136725,dean&david,POINT (13.3892871 52.5197964)
333434552,EDEKA,POINT (13.4230134 52.4770848)
333460025,Bio Company,POINT (13.3942017 52.4888756)
335567493,Aris Döner & Burger,POINT (13.3927796 52.564459799999995)
336027358,Kaufland,POINT (13.4036206 52.5704705)
336057250,Shell,POINT (13.2219474 52.536670799999996)
336117213,Urban Grill Burek House,POINT (13.3077721 52.50678959999999)
336139117,Yangguofu Malatang,POINT (13.402329900000002 52.5307267)
336139347,Fergy Detroit Pan Pizza,POINT (13.401194 52.529432)
336608019,Alnatura Super Natur Markt,POINT (13.4136956 52.55171359999999)
339240589,Star,POINT (13.5188307 52.52267309999999)
345783262,Kiosk 24h,POINT (13.2952128 52.4430926)
347303768,REWE,POINT (13.3302464 52.42946359999999)
348000444,REWE,POINT (13.3970838 52.53198069999999)
350462678,Maroush,POINT (13.418855 52.50092529999999)
350499772,McDonald's,POINT (13.436245 52.5006682)
352905900,Edeka Siegler,POINT (13.3568344 52.485656299999995)
352905928,Aldi,POINT (13.3574343 52.485758399999995)
352924669,Hisar,POINT (13.3687704 52.49293549999999)
354721203,Bistro Kaya,POINT (13.1424802 52.52488289999999)
358183697,REWE,POINT (13.2010419 52.548879899999996)
359096354,REWE,POINT (13.2622014 52.43706499999999)
359754358,Istanbul Supermarkt,POINT (13.3489273 52.4818248)
362861264,Sanabel,POINT (13.4584427 52.5110815)
364048640,Aldi,POINT (13.5053553 52.56392999999999)
364135228,Orange,POINT (13.4247724 52.475696899999996)
364266085,Edeka,POINT (13.3284544 52.4278951)
365288484,Tepe,POINT (13.4304135 52.468533399999984)
370400278,Prime Kebab,POINT (13.271345 52.51030920000001)
371151371,PENNY,POINT (13.4249997 52.4888458)
371817090,EDEKA,POINT (13.3373959 52.530124699999995)
373861896,REWE City,POINT (13.4123763 52.54537069999999)
376053800,Riha Bistro,POINT (13.3997845 52.532933799999995)
380497987,Pret A Manger,POINT (13.3770918 52.50921829999999)
388418547,Aral,POINT (13.4076934 52.56362099999999)
388520288,,POINT (13.6507094 52.3898738)
388579116,Irem Bistro,POINT (13.3764618 52.598018999999994)
389081203,Lidl,POINT (13.516466400000002 52.4611526)
390384562,PENNY,POINT (13.1707459 52.51897600000001)
390427086,Burger Garden,POINT (13.421561700000002 52.43411699999999)
390470723,McDonald's,POINT (13.219128300000001 52.537581999999986)
390502682,REWE,POINT (13.4420092 52.49841209999999)
392352484,Netto Marken-Discount,POINT (13.5087505 52.4512743)
392404648,Bistro 93,POINT (13.4410506 52.5176798)
392683175,Aldi,POINT (13.4571207 52.4859875)
392683176,REWE,POINT (13.4568606 52.485580799999994)
395053992,Rewe,POINT (13.143009400000002 52.452859299999986)
407094160,Mac Kebab,POINT (13.5885443 52.51226)
409353486,Dönerpoint,POINT (13.5604279 52.505793499999996)
410135914,Multi-Kulti-Shop,POINT (13.4364652 52.4956379)
410135925,Nour,POINT (13.4424784 52.4984909)
410135938,,POINT (13.4291461 52.4946108)
410135941,Pizzeria Piccola Musica,POINT (13.4302367 52.498274599999995)
410135953,Pizza Espresso,POINT (13.4420873 52.5007365)
410135954,,POINT (13.4422489 52.500664499999985)
410214240,Park-Imbiss,POINT (13.2668639 52.59242869999999)
410339501,PENNY,POINT (13.303506300000002 52.4985137)
410506348,PENNY,POINT (13.5715607 52.5568679)
410749696,Netto,POINT (13.4863442 52.6173677)
411666633,"Lotto, Zeitungen, Tabak",POINT (13.5879737 52.50900749999999)
411899540,All in One Shop,POINT (13.3430149 52.52826329999998)
412196333,REWE,POINT (13.5717456 52.412374799999995)
413275520,REWE,POINT (13.5772772 52.45869019999999)
415551368,KIOSK,POINT (13.4165959 52.5430552)
417009812,Efdal,POINT (13.3613204 52.4862522)
417018788,EDEKA,POINT (13.4459428 52.55330109999999)
417019740,Edeka Peth,POINT (13.4588499 52.54983089999999)
417021873,Edeka Ostseestraße,POINT (13.442967800000002 52.546533)
417128855,Dolce Pizza,POINT (13.346083300000002 52.484712200000004)
417237678,Fischerei Löcknitz - Hafenräucherei Treptow,POINT (13.4633423 52.4939684)
417360249,Netto Marken-Discount,POINT (13.452261300000002 52.533315999999985)
418632158,Edeka Nah und Gut,POINT (13.4198029 52.542078499999995)
418632161,nah und gut,POINT (13.418361700000002 52.542668299999995)
419545765,Lidl,POINT (13.3833679 52.5511375)
419545767,REWE,POINT (13.3828975 52.5513946)
420512359,Spätkauf am Atillaplatz,POINT (13.375534 52.455069899999984)
423485548,LPG BioMarkt,POINT (13.4240914 52.497119600000005)
426687397,Witty's Organic Food,POINT (13.3425297 52.5022791)
426973261,Falafel Baba,POINT (13.3245563 52.460294100000006)
427043045,Punjab Supermarkt,POINT (13.3749078 52.558686599999994)
427670051,Späti,POINT (13.4964222 52.512027100000005)
427670053,Payamlino Bistro,POINT (13.4965401 52.5120307)
427670057,Sheran Späti + Hermes Paketshop,POINT (13.4970713 52.51205489999999)
427670062,Kiez-Shop,POINT (13.4974878 52.5117432)
427670064,Isy's Dönerpoint,POINT (13.4970339 52.51173620000001)
427670068,Mr Anh,POINT (13.4983124 52.5120768)
427670069,Burger City,POINT (13.4985416 52.512063100000006)
427670070,Asia-Imbiss,POINT (13.4984638 52.512076799999996)
427901484,Am Modellboothafen,POINT (13.4154457 52.43282930000001)
428081389,JET,POINT (13.3241529 52.56127159999999)
428114310,Brammibal’s Donuts,POINT (13.3549951 52.48572450000001)
428142582,PENNY,POINT (13.345433200000002 52.53309509999999)
428553725,Post & More,POINT (13.3312565 52.467360799999994)
428889381,Akcan Döner,POINT (13.4923264 52.6371696)
429729075,City-Kiosk,POINT (13.3602113 52.48999250000001)
429740258,dean&david,POINT (13.3771155 52.50905)
429772561,,POINT (13.2808103 52.44789889999999)
430126697,Obst und Gemüse,POINT (13.4543186 52.5028638)
